ID,Название,Цена,Город,Промо цена,Ссылка
21162,Конструктор LEGO Minecraft Приключения в тайге ,899,Регион не выбран,759,https://www.detmir.ru/product/index/id/3226587/
71722,Конструктор LEGO Ninjago Подземелье колдуна-скелета ,8 999,Регион не выбран,5 399,https://www.detmir.ru/product/index/id/3244592/
31058,Конструктор LEGO Creator Грозный динозавр ,1 399,Регион не выбран,839,https://www.detmir.ru/product/index/id/2496001/
75288,Конструктор LEGO Star Wars AT-AT ,13 999,Регион не выбран,8 339,https://www.detmir.ru/product/index/id/3244608/
60214,Конструктор LEGO City Fire Пожар в бургер-кафе ,2 499,Регион не выбран,1 669,https://www.detmir.ru/product/index/id/3142077/
41444,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити ,2 599,Регион не выбран,1 559,https://www.detmir.ru/product/index/id/3405548/
76192,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва ,8 499,Регион не выбран,5 099,https://www.detmir.ru/product/index/id/3597029/
60244,Конструктор LEGO City Police Полицейский вертолетный транспорт ,3 799,Регион не выбран,2 419,https://www.detmir.ru/product/index/id/3226651/
21158,Конструктор LEGO Minecraft Питомник панд ,1 799,Регион не выбран,1 169,https://www.detmir.ru/product/index/id/3226584/
41937,Конструктор LEGO Dots Большой набор Летнее настроение ,2 599,Регион не выбран,1 529,https://www.detmir.ru/product/index/id/3596836/
42109,Конструктор LEGO Technic Гоночный автомобиль Top Gear ,12 499,Регион не выбран,7 479,https://www.detmir.ru/product/index/id/3226632/
60264,Конструктор LEGO City Исследовательская подводная лодка ,2 499,Регион не выбран,1 549,https://www.detmir.ru/product/index/id/3244532/
41682,Конструктор LEGO Friends Школа Хартлейк Сити ,6 499,Регион не выбран,3 709,https://www.detmir.ru/product/index/id/3596782/
71391,Конструктор LEGO Super Mario Летучий корабль Боузера ,8 999,Регион не выбран,5 629,https://www.detmir.ru/product/index/id/3596969/
71754,Конструктор LEGO Ninjago Водный дракон ,6 499,Регион не выбран,3 939,https://www.detmir.ru/product/index/id/3597018/
42106,Конструктор LEGO Technic Шоу трюков на грузовиках и мотоциклах ,4 699,Регион не выбран,2 819,https://www.detmir.ru/product/index/id/3226630/
76140,Конструктор LEGO Super Heroes Железный человек ,999,Регион не выбран,639,https://www.detmir.ru/product/index/id/3226727/
60254,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров ,2 499,Регион не выбран,1 519,https://www.detmir.ru/product/index/id/3226681/
76900,Конструктор LEGO Speed Champions Koenigsegg Jesko ,1 799,Регион не выбран,1 349,https://www.detmir.ru/product/index/id/3597036/
41427,Конструктор LEGO Friends Модный бутик Эммы ,2 599,Регион не выбран,1 609,https://www.detmir.ru/product/index/id/3244517/
76168,Конструктор LEGO DC Super Heroes Капитан Америка Робот ,999,Регион не выбран,649,https://www.detmir.ru/product/index/id/3405605/
10955,Конструктор LEGO DUPLO My First Поезд для животных ,1 599,Регион не выбран,949,https://www.detmir.ru/product/index/id/3405527/
76899,Конструктор LEGO Speed Champions Lamborghini Urus ST-X Lamborghini Huracan Super Trofeo EVO ,5 499,Регион не выбран,3 419,https://www.detmir.ru/product/index/id/3226750/
10952,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные ,6 499,Регион не выбран,3 899,https://www.detmir.ru/product/index/id/3405532/
60282,Конструктор LEGO City Fire Команда пожарных ,4 999,Регион не выбран,2 949,https://www.detmir.ru/product/index/id/3405584/
10954,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать ,1 499,Регион не выбран,909,https://www.detmir.ru/product/index/id/3596758/
10907,Конструктор LEGO DUPLO Town Животные мира ,8 999,Регион не выбран,8 499,https://www.detmir.ru/product/index/id/3176040/
21167,Конструктор LEGO Minecraft Торговый пост ,1 799,Регион не выбран,1 199,https://www.detmir.ru/product/index/id/3386282/
60252,Конструктор LEGO City Great Vehicles Строительный бульдозер ,1 499,Регион не выбран,929,https://www.detmir.ru/product/index/id/3226679/
71745,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей ,1 699,Регион не выбран,1 089,https://www.detmir.ru/product/index/id/3405620/
76187,Конструктор LEGO Super Heroes Веном ,5 999,Регион не выбран,5 169,https://www.detmir.ru/product/index/id/3594631/
10909,Конструктор LEGO DUPLO Classic Шкатулка-сердечко ,1 599,Регион не выбран,1 169,https://www.detmir.ru/product/index/id/3405525/
31120,Конструктор LEGO Creator Средневековый замок ,8 999,Регион не выбран,5 629,https://www.detmir.ru/product/index/id/3596771/
60265,Конструктор LEGO City Исследовательская база ,5 499,Регион не выбран,3 409,https://www.detmir.ru/product/index/id/3244533/
 2304,Конструктор LEGO DUPLO Большая строительная пластина,1 299,Регион не выбран,849,https://www.detmir.ru/product/index/id/3233714/
75280,Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона ,2 799,Регион не выбран,1 759,https://www.detmir.ru/product/index/id/3244603/
76190,Конструктор LEGO Super Heroes Железный человек: схватка с Железным Торговцем ,3 699,Регион не выбран,2 299,https://www.detmir.ru/product/index/id/3597027/
75301,Конструктор LEGO Star Wars Истребитель типа Х Люка Скайуокера ,4 699,Регион не выбран,2 959,https://www.detmir.ru/product/index/id/3405643/
42100,Конструктор LEGO Technic Экскаватор Liebherr R 9800 ,37 999,Регион не выбран,24 609,https://www.detmir.ru/product/index/id/3405651/
41429,Конструктор LEGO Friends Самолёт в Хартлейк Сити ,6 499,Регион не выбран,3 609,https://www.detmir.ru/product/index/id/3244512/
